City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Katsuura,JP,37.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
3,Husavik,IS,28.31,broken clouds,66.0449,-17.3389,Bjarnabúð
19,Ketchikan,US,39.18,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
23,Nikolskoye,RU,36.88,light snow,59.7035,30.7861,Tourist House - Sablino
32,Sitka,US,37.29,mist,57.0531,-135.33,Westmark Sitka
38,Kula,TR,35.01,clear sky,38.5473,28.6498,Anemon Kula Hotel
43,Otradnoye,RU,37.04,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
48,Betsiamites,CA,36.0,snow,48.9413,-68.646,Maison
59,Sorland,NO,35.67,light snow,67.667,12.6934,Sjybrygga fiskecamp
62,Whitehorse,CA,25.57,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
73,Alamosa,US,36.36,clear sky,37.4695,-105.87,Best Western Alamosa Inn
78,Yinchuan,CN,22.78,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
80,Tasiilaq,GL,10.4,scattered clouds,65.6145,-37.6368,The Red House
88,Kenai,US,23.05,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
92,Longyearbyen,SJ,24.64,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
93,Quesnel,CA,34.3,overcast clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
108,Amos,CA,26.87,light snow,48.5669,-78.1162,"Amosphère, complexe hôtelier"
109,Khani,GE,33.37,light snow,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
113,Seoul,KR,29.64,mist,37.5683,126.9778,LOTTE Hotel Seoul
122,Vardo,NO,26.8,broken clouds,70.3705,31.1107,Vardø Hotel AS
134,Hasaki,JP,34.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
141,Maniitsoq,GL,13.08,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
149,Dandong,CN,28.06,clear sky,40.1292,124.3947,Yiranju Farmstay
154,Kemijarvi,FI,24.39,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
160,Jamestown,US,38.08,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
171,Nanortalik,GL,26.58,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
177,Vytegra,RU,25.86,scattered clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
178,Chukhloma,RU,24.51,snow,58.7525,42.6825,Berezka
186,Pietarsaari,FI,34.0,overcast clouds,63.65,22.6833,Jakobstad City Hotel Pietarsaari
188,Fort Nelson,CA,34.83,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
189,Kodiak,US,15.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
195,Komsomolskiy,UZ,36.82,scattered clouds,40.4272,71.7189,Ikathouse
197,Grindavik,IS,31.95,snow,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
213,Vestmannaeyjar,IS,34.79,broken clouds,63.4427,-20.2734,Glamping & Camping
229,Goderich,CA,31.91,overcast clouds,43.7501,-81.7165,Harmony Inn
244,La Ronge,CA,12.45,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
250,Saint-Michel-Des-Saints,CA,35.94,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
252,Miquelon,PM,35.6,scattered clouds,47.0975,-56.3814,Island Inn
253,Ringebu,NO,11.07,broken clouds,61.5167,10.1667,B27 Hostel
255,Yuksekova,TR,27.23,light snow,37.5736,44.2872,Hotel Grand Yılmaz
261,Naryan-Mar,RU,23.32,overcast clouds,67.6713,53.087,Hostel Agat
271,Saint Anthony,US,19.24,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
277,Sault Sainte Marie,CA,25.36,overcast clouds,46.5168,-84.3333,Comfort Inn
