City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Katsuura,JP,35.1333,140.3,37.11,96,100,25.28,overcast clouds
1,Ixtapa,MX,20.7,-105.2,80.58,24,0,3.04,clear sky
2,Hambantota,LK,6.1241,81.1185,78.24,78,69,1.7,moderate rain
3,Husavik,IS,66.0449,-17.3389,28.31,83,81,13.09,broken clouds
4,Wanning,CN,18.8003,110.3967,69.6,93,25,5.64,scattered clouds
5,Boguchany,RU,58.3814,97.4531,-13.68,100,97,2.98,overcast clouds
6,Pauini,BR,-7.7136,-66.9764,82.56,67,99,5.03,overcast clouds
7,Ouesso,CG,1.6136,16.0517,88.18,20,18,0.81,few clouds
8,Victoria,HK,22.2855,114.1577,64.45,87,100,11.99,overcast clouds
9,Mayo,US,38.8876,-76.5119,59.34,43,0,12.66,clear sky
10,Busselton,AU,-33.65,115.3333,70.09,73,4,7.58,clear sky
11,Havre,FR,49.5833,0.3333,41.58,82,100,8.66,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,50.02,61,40,29.93,scattered clouds
13,Bluff,NZ,-46.6,168.3333,58.8,88,89,14.23,overcast clouds
14,Port Hardy,CA,50.6996,-127.4199,45.75,100,75,3.44,broken clouds
15,Lebu,CL,-37.6167,-73.65,60.82,59,40,25.5,scattered clouds
16,Ancud,CL,-41.8697,-73.8203,64.42,44,4,10.22,clear sky
17,Luena,AO,-11.7833,19.9167,70.34,68,76,3.98,broken clouds
18,Sao Felipe,BR,-14.8167,-41.3833,90.61,38,0,2.66,clear sky
19,Ketchikan,US,55.3422,-131.6461,39.18,87,100,5.75,overcast clouds
20,Nabire,ID,-3.3667,135.4833,75.85,91,100,1.99,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,58.48,96,61,2.08,broken clouds
22,Newport,GB,51.5877,-2.9984,46.45,64,51,4.0,broken clouds
23,Nikolskoye,RU,59.7035,30.7861,36.88,90,95,10.67,light snow
24,Hobart,AU,-42.8794,147.3294,60.66,68,100,9.22,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,78.64,74,18,18.01,few clouds
26,Hermanus,ZA,-34.4187,19.2345,70.9,71,0,9.95,clear sky
27,Roebourne,AU,-20.7833,117.1333,84.49,74,8,7.85,clear sky
28,Angoche,MZ,-16.2325,39.9086,79.34,80,71,7.4,light rain
